cell,n_informative,concept_a,concept_b,l2,l2_std,n_reps
ninf5_sudden,5,13,20,1.2873,0.2356,5
ninf5_sudden,5,14,15,1.4443,0.3153,5
ninf5_sudden,5,14,16,1.3535,0.1615,5
ninf5_sudden,5,14,17,1.5264,0.197,5
ninf5_sudden,5,14,18,1.6744,0.1606,5
ninf5_sudden,5,14,19,1.6102,0.2279,5
ninf5_sudden,5,14,20,1.5718,0.1675,5
ninf5_sudden,5,15,16,1.4326,0.3199,5
ninf5_sudden,5,15,17,1.532,0.3509,5
ninf5_sudden,5,15,18,1.4332,0.2847,5
ninf5_sudden,5,15,19,1.3533,0.4508,5
ninf5_sudden,5,15,20,1.4396,0.363,5
ninf5_sudden,5,16,17,1.3974,0.3267,5
ninf5_sudden,5,16,18,1.5144,0.3241,5
ninf5_sudden,5,16,19,1.3983,0.2485,5
ninf5_sudden,5,16,20,1.2762,0.1814,5
ninf5_sudden,5,17,18,1.6586,0.3169,5
ninf5_sudden,5,17,19,1.5219,0.178,5
ninf5_sudden,5,17,20,1.5046,0.2123,5
ninf5_sudden,5,18,19,1.5723,0.1514,5
ninf5_sudden,5,18,20,1.4352,0.3011,5
ninf5_sudden,5,19,20,1.4371,0.0795,5
ninf10_sudden,10,0,1,2.1169,0.3167,5
ninf10_sudden,10,0,2,2.0666,0.2714,5
ninf10_sudden,10,0,3,2.2656,0.3913,5
ninf10_sudden,10,0,4,2.2645,0.2579,5
ninf10_sudden,10,0,5,2.1278,0.3978,5
ninf10_sudden,10,0,6,2.3138,0.272,5
ninf10_sudden,10,0,7,2.3365,0.2469,5
ninf10_sudden,10,0,8,2.2654,0.4089,5
ninf10_sudden,10,0,9,2.244,0.1408,5
ninf10_sudden,10,0,10,2.2965,0.3709,5
ninf10_sudden,10,0,11,2.3461,0.2847,5
ninf10_sudden,10,0,12,2.3261,0.4228,5
ninf10_sudden,10,0,13,1.9331,0.293,5
ninf10_sudden,10,0,14,2.079,0.2876,5
ninf10_sudden,10,0,15,2.2085,0.2078,5
ninf10_sudden,10,0,16,2.2619,0.2755,5
ninf10_sudden,10,0,17,2.5668,0.2899,5
ninf10_sudden,10,0,18,2.3793,0.2929,5
ninf10_sudden,10,0,19,2.3646,0.3493,5
ninf10_sudden,10,0,20,1.9694,0.5355,5
ninf10_sudden,10,1,2,1.8817,0.1873,5
ninf10_sudden,10,1,3,1.8909,0.2893,5
ninf10_sudden,10,1,4,2.0498,0.3517,5
ninf10_sudden,10,1,5,1.7978,0.3963,5
ninf10_sudden,10,1,6,1.8939,0.2809,5
ninf10_sudden,10,1,7,2.0593,0.2789,5
ninf10_sudden,10,1,8,1.9468,0.4481,5
ninf10_sudden,10,1,9,1.935,0.5761,5
ninf10_sudden,10,1,10,2.1869,0.4774,5
ninf10_sudden,10,1,11,2.0273,0.1771,5
ninf10_sudden,10,1,12,2.0818,0.3113,5
ninf10_sudden,10,1,13,2.0444,0.2946,5
ninf10_sudden,10,1,14,2.1081,0.2764,5
ninf10_sudden,10,1,15,2.004,0.315,5
ninf10_sudden,10,1,16,1.8831,0.1906,5
ninf10_sudden,10,1,17,2.1897,0.2731,5
ninf10_sudden,10,1,18,2.2503,0.3714,5
ninf10_sudden,10,1,19,1.9795,0.3522,5
ninf10_sudden,10,1,20,1.9598,0.2408,5
ninf10_sudden,10,2,3,2.0921,0.1946,5
ninf10_sudden,10,2,4,1.8973,0.1184,5
ninf10_sudden,10,2,5,1.9148,0.1408,5
ninf10_sudden,10,2,6,2.2615,0.3914,5
ninf10_sudden,10,2,7,2.004,0.405,5
ninf10_sudden,10,2,8,2.1385,0.2366,5
ninf10_sudden,10,2,9,1.9643,0.4423,5
ninf10_sudden,10,2,10,2.1666,0.1705,5
ninf10_sudden,10,2,11,2.1081,0.2242,5
ninf10_sudden,10,2,12,2.4419,0.228,5
ninf10_sudden,10,2,13,1.91,0.4044,5
ninf10_sudden,10,2,14,2.1083,0.4838,5
ninf10_sudden,10,2,15,2.304,0.2059,5
ninf10_sudden,10,2,16,1.9634,0.293,5
ninf10_sudden,10,2,17,2.3878,0.3741,5
ninf10_sudden,10,2,18,2.1569,0.3396,5
ninf10_sudden,10,2,19,1.9419,0.3687,5
ninf10_sudden,10,2,20,2.2374,0.5307,5
ninf10_sudden,10,3,4,2.2512,0.3224,5
ninf10_sudden,10,3,5,2.0997,0.3425,5
ninf10_sudden,10,3,6,1.9389,0.3609,5
ninf10_sudden,10,3,7,2.0789,0.3422,5
ninf10_sudden,10,3,8,2.1417,0.0613,5
ninf10_sudden,10,3,9,2.1307,0.2829,5
ninf10_sudden,10,3,10,2.1571,0.2049,5
ninf10_sudden,10,3,11,2.2513,0.4014,5
ninf10_sudden,10,3,12,2.1395,0.2894,5
ninf10_sudden,10,3,13,2.0594,0.3789,5
ninf10_sudden,10,3,14,2.2315,0.5278,5
ninf10_sudden,10,3,15,2.1754,0.5334,5
ninf10_sudden,10,3,16,2.0274,0.2976,5
ninf10_sudden,10,3,17,2.2181,0.2474,5
ninf10_sudden,10,3,18,2.2512,0.5959,5
ninf10_sudden,10,3,19,2.0265,0.5317,5
ninf10_sudden,10,3,20,2.2113,0.375,5
ninf10_sudden,10,4,5,1.9518,0.2093,5
ninf10_sudden,10,4,6,2.2341,0.3026,5
ninf10_sudden,10,4,7,2.103,0.1716,5
ninf10_sudden,10,4,8,2.3672,0.3121,5
ninf10_sudden,10,4,9,2.0728,0.3421,5
ninf10_sudden,10,4,10,2.2041,0.183,5
ninf10_sudden,10,4,11,2.3814,0.2511,5
ninf10_sudden,10,4,12,2.4976,0.1893,5
ninf10_sudden,10,4,13,2.0155,0.4562,5
ninf10_sudden,10,4,14,2.1208,0.2332,5
ninf10_sudden,10,4,15,2.2324,0.5619,5
ninf10_sudden,10,4,16,1.9969,0.2794,5
ninf10_sudden,10,4,17,2.1737,0.2391,5
ninf10_sudden,10,4,18,2.2407,0.3516,5
ninf10_sudden,10,4,19,2.0422,0.3314,5
ninf10_sudden,10,4,20,2.1436,0.3717,5
ninf10_sudden,10,5,6,1.9307,0.205,5
ninf10_sudden,10,5,7,1.8142,0.1976,5
ninf10_sudden,10,5,8,2.0616,0.3322,5
ninf10_sudden,10,5,9,2.0351,0.2287,5
ninf10_sudden,10,5,10,2.0503,0.4039,5
ninf10_sudden,10,5,11,1.9972,0.3233,5
ninf10_sudden,10,5,12,2.2688,0.2611,5
