cell,n_informative,concept,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
ninf15_sudden,15,0,1.0028,-0.5156,0.0127,-0.4879,-0.5219,-0.0054,-0.4766,-0.0056,0.0026,-0.4954,-0.0024,-0.5205,1.01,-0.5066,-0.4911,0.4979,0.4935,0.0014,-0.0021,-0.4783
ninf15_sudden,15,1,-0.5098,-0.0025,0.0042,-0.5155,-0.0104,-0.5295,-0.494,0.0016,-0.4865,-0.992,-0.5127,-0.0083,0.0029,0.493,-0.0085,0.4919,-1.0068,-0.0011,-0.0109,0.0003
ninf15_sudden,15,2,-0.0014,-0.5075,-1.0186,-0.5167,0.5186,0.9932,0.0067,0.4905,-0.5152,-0.4973,0.5001,0.4945,-0.0071,-0.009,-0.488,-0.006,0.0147,0.004,-0.5238,-0.0005
ninf15_sudden,15,3,0.4813,0.9971,-0.0204,0.0205,0.0043,0.494,0.4955,-0.0045,-0.0031,-0.5049,-0.4976,-0.5167,-0.4768,0.0,0.5011,-0.0035,-0.4996,0.0012,0.0021,-0.0123
ninf15_sudden,15,4,-0.012,-0.9987,-0.0027,-0.4902,0.5144,0.0135,0.5098,-0.0146,-0.0055,0.5057,0.0062,0.0245,-0.5083,-0.4965,0.4815,0.0037,0.0033,-0.0019,0.0095,0.0092
ninf15_sudden,15,5,0.4969,0.0027,-0.008,-0.0025,0.473,-0.0082,-0.0006,0.0031,-0.4905,0.0095,0.5161,0.0101,-0.0219,-0.4921,-1.0102,0.0013,0.5161,-0.5058,0.0115,0.0012
ninf15_sudden,15,6,0.0006,0.4922,0.0226,0.4893,0.0194,0.4936,0.4934,-0.4922,0.4954,0.4912,-0.007,0.0054,0.0009,0.0051,-0.0016,-0.0067,0.4966,-0.0197,-0.0003,-0.5096
ninf15_sudden,15,7,-0.4991,-0.0072,0.4912,0.0053,0.0139,-0.9947,0.005,0.0043,-0.9845,-0.0014,-0.5092,-0.5061,0.002,0.0074,0.4899,0.0107,0.0003,-0.0138,0.0108,-0.0023
ninf15_sudden,15,8,1.0009,-0.504,0.5038,0.0043,-0.5058,0.0029,0.007,-0.0003,-0.0147,0.0037,0.0035,-0.4853,0.026,0.9914,-0.5008,-0.0033,-0.4994,-0.0412,0.5026,-0.0021
ninf15_sudden,15,9,-0.0023,0.4965,0.4863,0.5172,-0.5078,-0.4986,-0.5164,-0.0031,1.0006,-0.5012,-0.0061,0.497,-0.4839,-0.0019,0.4982,0.4826,0.0061,0.9936,0.489,0.9952
ninf15_sudden,15,10,0.0167,1.0087,-0.0021,0.007,-0.0046,-0.5056,-0.502,0.9793,0.0096,0.4879,0.4928,-0.0047,-0.4868,0.506,-0.0089,0.0019,-1.0112,0.0042,-0.0071,0.5185
ninf15_sudden,15,11,-0.0053,-0.4927,0.0068,-0.0046,0.003,0.0047,-0.4941,-0.0132,-1.0132,0.0312,-0.0087,0.0077,0.0292,-0.0132,-0.0004,-1.0079,-0.4885,1.0094,-0.0062,0.5014
ninf15_sudden,15,12,0.5063,0.4971,0.4974,-0.0024,-0.9978,0.4882,0.003,-0.5075,-1.0054,-0.0002,-0.4972,-0.0166,0.4902,0.0006,0.0065,0.5073,0.5023,0.9954,0.0008,0.493
ninf15_sudden,15,13,-0.014,0.4885,0.5202,0.017,0.0076,0.492,-0.0072,0.0172,0.0059,-0.0121,-0.5044,0.0225,-0.0007,0.0039,-0.0073,0.0124,0.0017,0.0053,-0.0124,-0.0012
ninf15_sudden,15,14,0.5165,0.0122,0.0024,-0.4999,0.0209,-0.0016,1.0013,-0.0058,0.5037,-0.013,0.0117,1.0111,0.4794,-0.0054,0.4869,0.0128,0.4945,0.0047,0.0027,0.0008
ninf15_sudden,15,15,0.5104,-0.0014,0.0054,-0.4963,0.014,-0.0037,-0.006,0.4966,0.9937,-0.4961,0.9895,0.0045,-0.4799,0.502,-0.0041,-0.5111,-0.9873,-0.0014,-0.4825,-0.5089
ninf15_sudden,15,16,0.0093,-0.5075,-0.0085,0.5046,0.502,-0.4803,-0.5169,0.505,-0.0066,0.0089,-0.4853,0.0036,-0.0015,0.0064,0.001,-0.0078,-0.5031,-0.5054,-0.9913,-0.5037
ninf15_sudden,15,17,-0.5073,1.0075,0.0095,-0.5071,-0.4921,0.0011,0.0017,0.001,-0.0055,0.0114,0.0066,0.0011,-0.009,-0.0016,-0.4965,-0.0102,-1.0083,0.9916,-0.5118,0.0037
ninf15_sudden,15,18,-0.0012,0.5145,0.0016,0.0105,0.0092,1.0142,-0.004,0.4966,-0.001,0.0038,-0.4966,0.5035,0.0031,-0.0184,-0.0017,0.0012,0.0012,0.0028,0.4877,0.0159
ninf15_sudden,15,19,0.0043,0.4902,-0.0013,-0.0147,0.4849,0.001,-0.4971,0.4928,0.0149,-0.5109,-0.0056,-0.011,-0.5038,0.0065,-0.4926,0.4912,0.5225,0.0052,-0.496,0.5062
ninf15_sudden,15,20,0.4829,0.4871,0.0006,-0.0012,1.0089,-0.0084,0.4858,-0.0181,0.002,-0.4943,-0.0022,0.0022,0.4867,0.0016,0.5135,-0.5086,-0.4906,-0.4896,0.4827,0.0014
